schema_nm,table_nm,obj_typ,ord,is_key,column_nm,data_typ,nullable,column_descr
tienda_online,categorias,TBL,1,PK,id_catego,binary(16),"NOT NULL","ID de la categoría"
tienda_online,categorias,TBL,2,FK,id_creador,binary(16),"NOT NULL","ID del vendedor creador de la categoría"
tienda_online,categorias,TBL,3," ",nombre,varchar(32),"NOT NULL","Nombre de la categoría"
tienda_online,categorias,TBL,4," ",descripcion,varchar(256),"NOT NULL","Breve descripción de lo que trata la categoría"
tienda_online,categorias,TBL,5," ",fecha_creacion,timestamp(4),"NOT NULL","Fecha de registro"
tienda_online,categorias,TBL,6," ",fecha_modif,timestamp(4),NULL,"Fecha de última modificacion"
tienda_online,categorias,TBL,7," ",fecha_elim,timestamp(4),NULL,"Fecha de baja"
tienda_online,domicilios,TBL,1,PK,id_domicilio,binary(16),"NOT NULL","ID del domicilio"
tienda_online,domicilios,TBL,1,PK,id_domicilio,binary(16),"NOT NULL","ID del domicilio"
tienda_online,domicilios,TBL,2," ",id_cliente,binary(16),"NOT NULL",NULL
tienda_online,domicilios,TBL,2,FK,id_usuario,binary(16),"NOT NULL","ID del usuario residente del domicilio"
tienda_online,domicilios,TBL,3," ",calle,varchar(64),"NOT NULL","Nombre de la calle"
tienda_online,domicilios,TBL,3," ",calle,varchar(32),"NOT NULL","Nombre de la calle"
tienda_online,domicilios,TBL,4," ",num_ext,varchar(16),"NOT NULL",NULL
tienda_online,domicilios,TBL,4," ",numext,varchar(16),"NOT NULL","Numero de edificio o casa"
tienda_online,domicilios,TBL,5," ",num_int,varchar(16),NULL,NULL
tienda_online,domicilios,TBL,5," ",numint,varchar(16),NULL,"Numero de departamento. Este dato es opcional. Solo si el usuario vive en un complejo departamental"
tienda_online,domicilios,TBL,6," ",residencial,varchar(64),"NOT NULL","Residencial o colonia"
tienda_online,domicilios,TBL,6," ",residencial,varchar(32),"NOT NULL","Residencial o colonia"
tienda_online,domicilios,TBL,7," ",ciudad,varchar(64),"NOT NULL","Ciudad o localidad"
tienda_online,domicilios,TBL,7," ",ciudad,varchar(32),"NOT NULL","Ciudad o localidad"
tienda_online,domicilios,TBL,8," ",provincia,varchar(64),"NOT NULL","Estado o provincia"
tienda_online,domicilios,TBL,8," ",provincia,varchar(32),"NOT NULL","Estado o provincia"
tienda_online,domicilios,TBL,9," ",creation_date,datetime(8),"NOT NULL",NULL
tienda_online,domicilios,TBL,9," ",default,tinyint(3),"NOT NULL","Domicilio de entrega por defecto. Es la selección por defecto del usuario para recibir su pedido"
tienda_online,domicilios,TBL,10," ",created_by,int(10),"NOT NULL",NULL
tienda_online,domicilios,TBL,10," ",fecha_creacion,timestamp(4),"NOT NULL","Fecha de registro"
tienda_online,domicilios,TBL,11," ",last_update_date,datetime(8),NULL,NULL
tienda_online,domicilios,TBL,11," ",fecha_modif,timestamp(4),NULL,"Fecha de última modificacion"
tienda_online,domicilios,TBL,12," ",last_update_by,int(10),NULL,NULL
tienda_online,domicilios,TBL,12," ",fecha_elim,timestamp(4),NULL,"Fecha de baja"
tienda_online,domicilios,TBL,13," ",active,tinyint(3),"NOT NULL",NULL
tienda_online,listas,TBL,1,PK,id_lista,binary(16),"NOT NULL","ID de la lista"
tienda_online,listas,TBL,2,FK,id_usuario,binary(16),"NOT NULL","ID del propietario de la lista"
tienda_online,listas,TBL,3," ",nombre,varchar(32),NULL,"Nombre de la lista"
tienda_online,listas,TBL,4," ",descripcion,varchar(256),NULL,"Breve descripción del contenido de la lista"
tienda_online,listas,TBL,5," ",privacidad,tinyint(3),"NOT NULL","Bandera de privacidad. Si es 0, la lista es pública. Si es 1, la lista es privada"
tienda_online,listas,TBL,6," ",imagen,blob(65535),NULL,"Imagen miniatura de la lista"
tienda_online,listas,TBL,7," ",imagen_dir,varchar(256),NULL,"Ruta del recurso de imagen de la lista"
tienda_online,listas,TBL,8," ",fecha_creacion,timestamp(4),"NOT NULL","Fecha de registro"
tienda_online,listas,TBL,9," ",fecha_modif,timestamp(4),NULL,"Fecha de última modificacion"
tienda_online,listas,TBL,10," ",fecha_elim,timestamp(4),NULL,"Fecha de baja"
tienda_online,multimedia,TBL,1,PK,id_mult,binary(16),"NOT NULL","ID del contenido multimedia"
tienda_online,multimedia,TBL,2,FK,id_prod,binary(16),"NOT NULL","ID del producto"
tienda_online,multimedia,TBL,3," ",contenido,blob(65535),"NOT NULL","Contenido multimedia"
tienda_online,multimedia,TBL,4," ",contenido_dir,varchar(256),"NOT NULL","Ruta del contenido multimedia"
tienda_online,multimedia,TBL,5," ",fecha_creacion,timestamp(4),"NOT NULL","Fecha de registro del producto"
tienda_online,multimedia,TBL,6," ",fecha_elim,timestamp(4),NULL,"Fecha de baja"
tienda_online,pedidos,TBL,1,PK,folio,varchar(16),"NOT NULL","Folio del pedido"
tienda_online,pedidos,TBL,2,FK,id_usuario,binary(16),"NOT NULL","ID del usuario que hizo el pedido"
tienda_online,pedidos,TBL,3,FK,domicilio_entr,binary(16),"NOT NULL","ID del domicilio de entrega"
tienda_online,pedidos,TBL,4," ",fecha_compra,timestamp(4),"NOT NULL","Fecha y hora de la compra"
tienda_online,pedidos,TBL,5," ",total,"decimal(8,2)","NOT NULL","Total a pagar del pedido"
tienda_online,productos,TBL,1," ",clave,varchar(16),"NOT NULL",NULL
tienda_online,productos,TBL,1,PK,id_producto,binary(16),"NOT NULL","ID del producto"
tienda_online,productos,TBL,2," ",img,blob(65535),NULL,NULL
tienda_online,productos,TBL,2,FK,id_publicador,binary(16),"NOT NULL","ID del vendedor publicador del producto"
